R,W,T,Bcap
Stutsman,2,10,31666667
Stutsman,2,11,31666667
Stutsman,2,12,31666667
Towner,1,1,15833333
Towner,1,2,15833333
Towner,1,3,15833333
Towner,1,4,15833333
Towner,1,5,15833333
Towner,1,6,15833333
Towner,1,7,15833333
Towner,1,8,15833333
Towner,1,9,15833333
Towner,1,10,15833333
Towner,1,11,15833333
Towner,1,12,15833333
Towner,2,1,31666667
Towner,2,2,31666667
Towner,2,3,31666667
Towner,2,4,31666667
Towner,2,5,31666667
Towner,2,6,31666667
Towner,2,7,31666667
Towner,2,8,31666667
Towner,2,9,31666667
Towner,2,10,31666667
Towner,2,11,31666667
Towner,2,12,31666667
Traill,1,1,15833333
Traill,1,2,15833333
Traill,1,3,15833333
Traill,1,4,15833333
Traill,1,5,15833333
Traill,1,6,15833333
Traill,1,7,15833333
Traill,1,8,15833333
Traill,1,9,15833333
Traill,1,10,15833333
Traill,1,11,15833333
Traill,1,12,15833333
Traill,2,1,31666667
Traill,2,2,31666667
Traill,2,3,31666667
Traill,2,4,31666667
Traill,2,5,31666667
Traill,2,6,31666667
Traill,2,7,31666667
Traill,2,8,31666667
Traill,2,9,31666667
Traill,2,10,31666667
Traill,2,11,31666667
Traill,2,12,31666667
Walsh,1,1,15833333
Walsh,1,2,15833333
Walsh,1,3,15833333
Walsh,1,4,15833333
Walsh,1,5,15833333
Walsh,1,6,15833333
Walsh,1,7,15833333
Walsh,1,8,15833333
Walsh,1,9,15833333
Walsh,1,10,15833333
Walsh,1,11,15833333
Walsh,1,12,15833333
Walsh,2,1,31666667
Walsh,2,2,31666667
Walsh,2,3,31666667
Walsh,2,4,31666667
Walsh,2,5,31666667
Walsh,2,6,31666667
Walsh,2,7,31666667
Walsh,2,8,31666667
Walsh,2,9,31666667
Walsh,2,10,31666667
Walsh,2,11,31666667
Walsh,2,12,31666667
Ward,1,1,15833333
Ward,1,2,15833333
Ward,1,3,15833333
Ward,1,4,15833333
Ward,1,5,15833333
Ward,1,6,15833333
Ward,1,7,15833333
Ward,1,8,15833333
Ward,1,9,15833333
Ward,1,10,15833333
Ward,1,11,15833333
Ward,1,12,15833333
Ward,2,1,31666667
Ward,2,2,31666667
Ward,2,3,31666667
Ward,2,4,31666667
Ward,2,5,31666667
Ward,2,6,31666667
Ward,2,7,31666667
Ward,2,8,31666667
Ward,2,9,31666667
Ward,2,10,31666667
Ward,2,11,31666667
Ward,2,12,31666667
Wells,1,1,15833333
Wells,1,2,15833333
Wells,1,3,15833333
Wells,1,4,15833333
Wells,1,5,15833333
Wells,1,6,15833333
Wells,1,7,15833333
Wells,1,8,15833333
Wells,1,9,15833333
Wells,1,10,15833333
Wells,1,11,15833333
Wells,1,12,15833333
Wells,2,1,31666667
Wells,2,2,31666667
Wells,2,3,31666667
Wells,2,4,31666667
Wells,2,5,31666667
Wells,2,6,31666667
Wells,2,7,31666667
Wells,2,8,31666667
Wells,2,9,31666667
Wells,2,10,31666667
Wells,2,11,31666667
Wells,2,12,31666667
Williams,1,1,15833333
Williams,1,2,15833333
Williams,1,3,15833333
Williams,1,4,15833333
Williams,1,5,15833333
Williams,1,6,15833333
Williams,1,7,15833333
Williams,1,8,15833333
Williams,1,9,15833333
Williams,1,10,15833333
Williams,1,11,15833333
Williams,1,12,15833333
Williams,2,1,31666667
Williams,2,2,31666667
Williams,2,3,31666667
Williams,2,4,31666667
Williams,2,5,31666667
Williams,2,6,31666667
Williams,2,7,31666667
Williams,2,8,31666667
Williams,2,9,31666667
Williams,2,10,31666667
Williams,2,11,31666667
Williams,2,12,31666667
